quarter,product,type,geo,end_market,plan_revenue,actual_revenue
2025-Q4,Mass Spec,Instruments,Other,Academic & Government,2405100,2160900
2025-Q4,Mass Spec,Chemistry,US,Pharma,4668500,4949600
2025-Q4,Mass Spec,Chemistry,US,Industrial,2075400,1949200
2025-Q4,Mass Spec,Chemistry,US,Academic & Government,1971700,2026400
2025-Q4,Mass Spec,Chemistry,China,Pharma,2268300,2442800
2025-Q4,Mass Spec,Chemistry,China,Industrial,1008300,962000
2025-Q4,Mass Spec,Chemistry,China,Academic & Government,958000,1000100
2025-Q4,Mass Spec,Chemistry,India,Pharma,1254300,1447200
2025-Q4,Mass Spec,Chemistry,India,Industrial,557600,569900
2025-Q4,Mass Spec,Chemistry,India,Academic & Government,529800,592500
2025-Q4,Mass Spec,Chemistry,Other,Pharma,2953200,3003100
2025-Q4,Mass Spec,Chemistry,Other,Industrial,1312800,1182700
2025-Q4,Mass Spec,Chemistry,Other,Academic & Government,1247200,1229500
2025-Q4,Mass Spec,Service,US,Pharma,3795500,3726600
2025-Q4,Mass Spec,Service,US,Industrial,1650000,1617700
2025-Q4,Mass Spec,Service,US,Academic & Government,1644300,1708700
2025-Q4,Mass Spec,Service,China,Pharma,1660500,1740100
2025-Q4,Mass Spec,Service,China,Industrial,721900,755400
2025-Q4,Mass Spec,Service,China,Academic & Government,719400,797800
2025-Q4,Mass Spec,Service,India,Pharma,1045000,1015300
2025-Q4,Mass Spec,Service,India,Industrial,454300,440700
2025-Q4,Mass Spec,Service,India,Academic & Government,452700,465500
2025-Q4,Mass Spec,Service,Other,Pharma,2169500,2198200
2025-Q4,Mass Spec,Service,Other,Industrial,943100,954200
2025-Q4,Mass Spec,Service,Other,Academic & Government,939900,1007900
2025-Q4,Chemicals,Chemistry,US,Pharma,7251300,6420800
2025-Q4,Chemicals,Chemistry,US,Industrial,2786700,2523000
2025-Q4,Chemicals,Chemistry,US,Academic & Government,2913700,2625300
2025-Q4,Chemicals,Chemistry,China,Pharma,3409200,3064800
2025-Q4,Chemicals,Chemistry,China,Industrial,1310200,1204300
2025-Q4,Chemicals,Chemistry,China,Academic & Government,1369900,1253100
2025-Q4,Chemicals,Chemistry,India,Pharma,2110400,1909600
2025-Q4,Chemicals,Chemistry,India,Industrial,811000,750400
2025-Q4,Chemicals,Chemistry,India,Academic & Government,848000,780800
2025-Q4,Chemicals,Chemistry,Other,Pharma,4432200,4293900
2025-Q4,Chemicals,Chemistry,Other,Industrial,1703300,1687300
2025-Q4,Chemicals,Chemistry,Other,Academic & Government,1781000,1755700
2025-Q4,Informatics,Informatics,US,Pharma,4680200,4826900
2025-Q4,Informatics,Informatics,US,Industrial,1882600,1936200
2025-Q4,Informatics,Informatics,US,Academic & Government,2088900,1826300
2025-Q4,Informatics,Informatics,China,Pharma,2015500,2127600
2025-Q4,Informatics,Informatics,China,Industrial,810700,853400
2025-Q4,Informatics,Informatics,China,Academic & Government,899600,805000
2025-Q4,Informatics,Informatics,India,Pharma,1266700,1285300
2025-Q4,Informatics,Informatics,India,Industrial,509500,515500
2025-Q4,Informatics,Informatics,India,Academic & Government,565300,486300
2025-Q4,Informatics,Informatics,Other,Pharma,2786000,2777000
2025-Q4,Informatics,Informatics,Other,Industrial,1120600,1113900
2025-Q4,Informatics,Informatics,Other,Academic & Government,1243500,1050700
2026-Q1,LC,Instruments,US,Pharma,10053500,10177400
2026-Q1,LC,Instruments,US,Industrial,4044400,4195000
2026-Q1,LC,Instruments,US,Academic & Government,4423000,4275800
2026-Q1,LC,Instruments,China,Pharma,4453700,4863100
2026-Q1,LC,Instruments,China,Industrial,1791600,2004500
2026-Q1,LC,Instruments,China,Academic & Government,1959400,2043100
2026-Q1,LC,Instruments,India,Pharma,2805700,2957100
2026-Q1,LC,Instruments,India,Industrial,1128700,1218900
2026-Q1,LC,Instruments,India,Academic & Government,1234300,1242400
2026-Q1,LC,Instruments,Other,Pharma,6474600,5880400
2026-Q1,LC,Instruments,Other,Industrial,2604600,2423800
2026-Q1,LC,Instruments,Other,Academic & Government,2848500,2470500
2026-Q1,LC,Chemistry,US,Pharma,8527300,8508200
2026-Q1,LC,Chemistry,US,Industrial,3337200,3428300
2026-Q1,LC,Chemistry,US,Academic & Government,3543200,3337800
2026-Q1,LC,Chemistry,China,Pharma,3915400,3793000
2026-Q1,LC,Chemistry,China,Industrial,1532300,1528400
2026-Q1,LC,Chemistry,China,Academic & Government,1626900,1488000
2026-Q1,LC,Chemistry,India,Pharma,2375900,2469800
2026-Q1,LC,Chemistry,India,Industrial,929800,995200
2026-Q1,LC,Chemistry,India,Academic & Government,987200,968900
2026-Q1,LC,Chemistry,Other,Pharma,4833600,5183400
2026-Q1,LC,Chemistry,Other,Industrial,1891600,2088600
2026-Q1,LC,Chemistry,Other,Academic & Government,2008400,2033400
2026-Q1,LC,Service,US,Pharma,4834000,4784200
2026-Q1,LC,Service,US,Industrial,1864500,1858300
2026-Q1,LC,Service,US,Academic & Government,2004200,1945700
2026-Q1,LC,Service,China,Pharma,2318000,2118700
2026-Q1,LC,Service,China,Industrial,894000,822900
2026-Q1,LC,Service,China,Academic & Government,961100,861600
2026-Q1,LC,Service,India,Pharma,1358600,1318400
2026-Q1,LC,Service,India,Industrial,524000,512100
2026-Q1,LC,Service,India,Academic & Government,563300,536200
2026-Q1,LC,Service,Other,Pharma,2884700,2912300
2026-Q1,LC,Service,Other,Industrial,1112600,1131200
2026-Q1,LC,Service,Other,Academic & Government,1196000,1184400
2026-Q1,Mass Spec,Instruments,US,Pharma,8712500,8426400
2026-Q1,Mass Spec,Instruments,US,Industrial,3520200,3622000
2026-Q1,Mass Spec,Instruments,US,Academic & Government,3797000,3761200
2026-Q1,Mass Spec,Instruments,China,Pharma,4236500,4134300
2026-Q1,Mass Spec,Instruments,China,Industrial,1711700,1777000
2026-Q1,Mass Spec,Instruments,China,Academic & Government,1846300,1845400
2026-Q1,Mass Spec,Instruments,India,Pharma,2465900,2282800
2026-Q1,Mass Spec,Instruments,India,Industrial,996300,981200
2026-Q1,Mass Spec,Instruments,India,Academic & Government,1074700,1018900
2026-Q1,Mass Spec,Instruments,Other,Pharma,5237400,4827800
2026-Q1,Mass Spec,Instruments,Other,Industrial,2116100,2075100
2026-Q1,Mass Spec,Instruments,Other,Academic & Government,2282500,2154900
2026-Q1,Mass Spec,Chemistry,US,Pharma,4804600,4712400
2026-Q1,Mass Spec,Chemistry,US,Industrial,1822000,1930300
2026-Q1,Mass Spec,Chemistry,US,Academic & Government,1834300,2078700
2026-Q1,Mass Spec,Chemistry,China,Pharma,2505500,2241400
2026-Q1,Mass Spec,Chemistry,China,Industrial,950200,918100
2026-Q1,Mass Spec,Chemistry,China,Academic & Government,956600,988700
2026-Q1,Mass Spec,Chemistry,India,Pharma,1390900,1434800
2026-Q1,Mass Spec,Chemistry,India,Industrial,527500,587700
2026-Q1,Mass Spec,Chemistry,India,Academic & Government,531000,632900
2026-Q1,Mass Spec,Chemistry,Other,Pharma,3201700,2940400
2026-Q1,Mass Spec,Chemistry,Other,Industrial,1214200,1204400
2026-Q1,Mass Spec,Chemistry,Other,Academic & Government,1222400,1297100
2026-Q1,Mass Spec,Service,US,Pharma,3609100,3870600
2026-Q1,Mass Spec,Service,US,Industrial,1441200,1536700
2026-Q1,Mass Spec,Service,US,Academic & Government,1480600,1496100
2026-Q1,Mass Spec,Service,China,Pharma,1771800,1822300
2026-Q1,Mass Spec,Service,China,Industrial,707500,723500
2026-Q1,Mass Spec,Service,China,Academic & Government,726900,704400
2026-Q1,Mass Spec,Service,India,Pharma,1039800,1094500
2026-Q1,Mass Spec,Service,India,Industrial,415200,434500
2026-Q1,Mass Spec,Service,India,Academic & Government,426600,423100
2026-Q1,Mass Spec,Service,Other,Pharma,2465900,2471600
2026-Q1,Mass Spec,Service,Other,Industrial,984700,981300
2026-Q1,Mass Spec,Service,Other,Academic & Government,1011700,955400
2026-Q1,Chemicals,Chemistry,US,Pharma,7201300,7258300
2026-Q1,Chemicals,Chemistry,US,Industrial,2906000,3210000
2026-Q1,Chemicals,Chemistry,US,Academic & Government,3262300,3067200
2026-Q1,Chemicals,Chemistry,China,Pharma,3143700,3438600
2026-Q1,Chemicals,Chemistry,China,Industrial,1268600,1520700
2026-Q1,Chemicals,Chemistry,China,Academic & Government,1424100,1453100
2026-Q1,Chemicals,Chemistry,India,Pharma,2037900,2022100
2026-Q1,Chemicals,Chemistry,India,Industrial,822400,894300
2026-Q1,Chemicals,Chemistry,India,Academic & Government,923200,854500
2026-Q1,Chemicals,Chemistry,Other,Pharma,4266900,4290100
2026-Q1,Chemicals,Chemistry,Other,Industrial,1721800,1897300
2026-Q1,Chemicals,Chemistry,Other,Academic & Government,1933000,1812900
2026-Q1,Informatics,Informatics,US,Pharma,5024800,5472700
2026-Q1,Informatics,Informatics,US,Industrial,1810400,2177700
2026-Q1,Informatics,Informatics,US,Academic & Government,1984300,2084500
2026-Q1,Informatics,Informatics,China,Pharma,2285100,2779700
2026-Q1,Informatics,Informatics,China,Industrial,823300,1106100
2026-Q1,Informatics,Informatics,China,Academic & Government,902400,1058700
2026-Q1,Informatics,Informatics,India,Pharma,1307500,1529400
2026-Q1,Informatics,Informatics,India,Industrial,471100,608600
2026-Q1,Informatics,Informatics,India,Academic & Government,516300,582500
2026-Q1,Informatics,Informatics,Other,Pharma,2985400,3384400
2026-Q1,Informatics,Informatics,Other,Industrial,1075600,1346700
2026-Q1,Informatics,Informatics,Other,Academic & Government,1178900,1289000
2026-Q2,LC,Instruments,US,Pharma,10643700,10458400
2026-Q2,LC,Instruments,US,Industrial,4236100,4261700
2026-Q2,LC,Instruments,US,Academic & Government,4280200,4311600
2026-Q2,LC,Instruments,China,Pharma,5157800,4787200
2026-Q2,LC,Instruments,China,Industrial,2052800,1950700
2026-Q2,LC,Instruments,China,Academic & Government,2074100,1973600
2026-Q2,LC,Instruments,India,Pharma,2896400,2751700
2026-Q2,LC,Instruments,India,Industrial,1152700,1121300
2026-Q2,LC,Instruments,India,Academic & Government,1164700,1134400
2026-Q2,LC,Instruments,Other,Pharma,6224200,6296700
2026-Q2,LC,Instruments,Other,Industrial,2477200,2565800
2026-Q2,LC,Instruments,Other,Academic & Government,2503000,2595900
2026-Q2,LC,Chemistry,US,Pharma,7718300,8626000
2026-Q2,LC,Chemistry,US,Industrial,3248500,3424800
2026-Q2,LC,Chemistry,US,Academic & Government,3107300,3615700
2026-Q2,LC,Chemistry,China,Pharma,3773400,3842400
2026-Q2,LC,Chemistry,China,Industrial,1588100,1525500
2026-Q2,LC,Chemistry,China,Academic & Government,1519100,1610600
2026-Q2,LC,Chemistry,India,Pharma,2331800,2267400
2026-Q2,LC,Chemistry,India,Industrial,981400,900200
2026-Q2,LC,Chemistry,India,Academic & Government,938700,950400
2026-Q2,LC,Chemistry,Other,Pharma,5345000,5021500
2026-Q2,LC,Chemistry,Other,Industrial,2249600,1993700
2026-Q2,LC,Chemistry,Other,Academic & Government,2151800,2104800
2026-Q2,LC,Service,US,Pharma,5003100,5036300
2026-Q2,LC,Service,US,Industrial,1956000,1960000
2026-Q2,LC,Service,US,Academic & Government,2037000,2213500
2026-Q2,LC,Service,China,Pharma,2303600,2202500
2026-Q2,LC,Service,China,Industrial,900600,857200
2026-Q2,LC,Service,China,Academic & Government,937900,968000
2026-Q2,LC,Service,India,Pharma,1380700,1341200
2026-Q2,LC,Service,India,Industrial,539800,522000
2026-Q2,LC,Service,India,Academic & Government,562100,589500
2026-Q2,LC,Service,Other,Pharma,3007100,3107100
2026-Q2,LC,Service,Other,Industrial,1175700,1209200
2026-Q2,LC,Service,Other,Academic & Government,1224300,1365600
2026-Q2,Mass Spec,Instruments,US,Pharma,8576100,7580700
2026-Q2,Mass Spec,Instruments,US,Industrial,3470000,3306600
2026-Q2,Mass Spec,Instruments,US,Academic & Government,3551400,3238900
2026-Q2,Mass Spec,Instruments,China,Pharma,4290900,3691600
2026-Q2,Mass Spec,Instruments,China,Industrial,1736200,1610200
2026-Q2,Mass Spec,Instruments,China,Academic & Government,1776900,1577200
2026-Q2,Mass Spec,Instruments,India,Pharma,2639800,2269600
2026-Q2,Mass Spec,Instruments,India,Industrial,1068100,990000
2026-Q2,Mass Spec,Instruments,India,Academic & Government,1093200,969700
2026-Q2,Mass Spec,Instruments,Other,Pharma,5543700,4948700
2026-Q2,Mass Spec,Instruments,Other,Industrial,2243100,2158600
2026-Q2,Mass Spec,Instruments,Other,Academic & Government,2295700,2114400
2026-Q2,Mass Spec,Chemistry,US,Pharma,4870500,4909900
2026-Q2,Mass Spec,Chemistry,US,Industrial,1964800,1899000
2026-Q2,Mass Spec,Chemistry,US,Academic & Government,2203000,2127300
2026-Q2,Mass Spec,Chemistry,China,Pharma,2422500,2311400
2026-Q2,Mass Spec,Chemistry,China,Industrial,977300,894000
2026-Q2,Mass Spec,Chemistry,China,Academic & Government,1095700,1001500
2026-Q2,Mass Spec,Chemistry,India,Pharma,1362100,1513700
2026-Q2,Mass Spec,Chemistry,India,Industrial,549500,585500
2026-Q2,Mass Spec,Chemistry,India,Academic & Government,616100,655900
2026-Q2,Mass Spec,Chemistry,Other,Pharma,2968900,3164700
2026-Q2,Mass Spec,Chemistry,Other,Industrial,1197700,1224000
2026-Q2,Mass Spec,Chemistry,Other,Academic & Government,1342900,1371200
2026-Q2,Mass Spec,Service,US,Pharma,3774400,3871700
2026-Q2,Mass Spec,Service,US,Industrial,1523100,1612500
2026-Q2,Mass Spec,Service,US,Academic & Government,1747800,1578500
2026-Q2,Mass Spec,Service,China,Pharma,1616300,1859400
2026-Q2,Mass Spec,Service,China,Industrial,652300,774400
2026-Q2,Mass Spec,Service,China,Academic & Government,748500,758100
2026-Q2,Mass Spec,Service,India,Pharma,1015300,1004200
2026-Q2,Mass Spec,Service,India,Industrial,409700,418200
2026-Q2,Mass Spec,Service,India,Academic & Government,470200,409400
2026-Q2,Mass Spec,Service,Other,Pharma,2291000,2245700
2026-Q2,Mass Spec,Service,Other,Industrial,924500,935300
2026-Q2,Mass Spec,Service,Other,Academic & Government,1060900,915600
2026-Q2,Chemicals,Chemistry,US,Pharma,7021000,7316100
2026-Q2,Chemicals,Chemistry,US,Industrial,2830400,2944600
2026-Q2,Chemicals,Chemistry,US,Academic & Government,2977800,2915800
2026-Q2,Chemicals,Chemistry,China,Pharma,3557200,3493700
2026-Q2,Chemicals,Chemistry,China,Industrial,1434100,1406100
2026-Q2,Chemicals,Chemistry,China,Academic & Government,1508700,1392400
2026-Q2,Chemicals,Chemistry,India,Pharma,2176000,1996400
2026-Q2,Chemicals,Chemistry,India,Industrial,877200,803500
2026-Q2,Chemicals,Chemistry,India,Academic & Government,922900,795700
2026-Q2,Chemicals,Chemistry,Other,Pharma,4263500,4406800
2026-Q2,Chemicals,Chemistry,Other,Industrial,1718800,1773600
2026-Q2,Chemicals,Chemistry,Other,Academic & Government,1808300,1756300
2026-Q2,Informatics,Informatics,US,Pharma,4923500,4859400
2026-Q2,Informatics,Informatics,US,Industrial,2006500,1961600
2026-Q2,Informatics,Informatics,US,Academic & Government,2120000,2187100
2026-Q2,Informatics,Informatics,China,Pharma,2208700,2247700
2026-Q2,Informatics,Informatics,China,Industrial,900100,907300
2026-Q2,Informatics,Informatics,China,Academic & Government,951000,1011600
2026-Q2,Informatics,Informatics,India,Pharma,1346200,1270600
2026-Q2,Informatics,Informatics,India,Industrial,548600,512900
2026-Q2,Informatics,Informatics,India,Academic & Government,579600,571900
2026-Q2,Informatics,Informatics,Other,Pharma,2877800,2766300
2026-Q2,Informatics,Informatics,Other,Industrial,1172800,1116600
2026-Q2,Informatics,Informatics,Other,Academic & Government,1239100,1245000
2026-Q3,LC,Instruments,US,Pharma,10879100,11345000
2026-Q3,LC,Instruments,US,Industrial,4085100,4289700
2026-Q3,LC,Instruments,US,Academic & Government,4165700,4700100
2026-Q3,LC,Instruments,China,Pharma,5342200,5484600
2026-Q3,LC,Instruments,China,Industrial,2006000,2073800
2026-Q3,LC,Instruments,China,Academic & Government,2045600,2272200
2026-Q3,LC,Instruments,India,Pharma,3125400,3054900
2026-Q3,LC,Instruments,India,Industrial,1173600,1155100
2026-Q3,LC,Instruments,India,Academic & Government,1196700,1265600
2026-Q3,LC,Instruments,Other,Pharma,6820700,6484500
2026-Q3,LC,Instruments,Other,Industrial,2561200,2451900
2026-Q3,LC,Instruments,Other,Academic & Government,2611700,2686500
2026-Q3,LC,Chemistry,US,Pharma,8679500,8632200
2026-Q3,LC,Chemistry,US,Industrial,3368600,3512400
2026-Q3,LC,Chemistry,US,Academic & Government,3579100,3779600
2026-Q3,LC,Chemistry,China,Pharma,3933000,4154300
2026-Q3,LC,Chemistry,China,Industrial,1526400,1690300
2026-Q3,LC,Chemistry,China,Academic & Government,1621800,1818900
2026-Q3,LC,Chemistry,India,Pharma,2274900,2571700
2026-Q3,LC,Chemistry,India,Industrial,882900,1046400
2026-Q3,LC,Chemistry,India,Academic & Government,938100,1126000
2026-Q3,LC,Chemistry,Other,Pharma,4838000,5049000
2026-Q3,LC,Chemistry,Other,Industrial,1877700,2054400
2026-Q3,LC,Chemistry,Other,Academic & Government,1995000,2210700
2026-Q3,LC,Service,US,Pharma,4474800,4561100
2026-Q3,LC,Service,US,Industrial,1697500,1939000
2026-Q3,LC,Service,US,Academic & Government,1971100,1961300
2026-Q3,LC,Service,China,Pharma,2233300,2152800
2026-Q3,LC,Service,China,Industrial,847200,915200
2026-Q3,LC,Service,China,Academic & Government,983700,925700
2026-Q3,LC,Service,India,Pharma,1390600,1424200
2026-Q3,LC,Service,India,Industrial,527500,605500
2026-Q3,LC,Service,India,Academic & Government,612500,612400
2026-Q3,LC,Service,Other,Pharma,3069400,3097200
2026-Q3,LC,Service,Other,Industrial,1164400,1316700
2026-Q3,LC,Service,Other,Academic & Government,1352000,1331800
2026-Q3,Mass Spec,Instruments,US,Pharma,8743900,9013000
2026-Q3,Mass Spec,Instruments,US,Industrial,3552100,3251600
2026-Q3,Mass Spec,Instruments,US,Academic & Government,3933100,3624500
2026-Q3,Mass Spec,Instruments,China,Pharma,4387100,4388700
2026-Q3,Mass Spec,Instruments,China,Industrial,1782200,1583300
2026-Q3,Mass Spec,Instruments,China,Academic & Government,1973400,1764900
2026-Q3,Mass Spec,Instruments,India,Pharma,2627000,2671000
2026-Q3,Mass Spec,Instruments,India,Industrial,1067200,963600
2026-Q3,Mass Spec,Instruments,India,Academic & Government,1181700,1074100
2026-Q3,Mass Spec,Instruments,Other,Pharma,5267300,5694100
2026-Q3,Mass Spec,Instruments,Other,Industrial,2139800,2054300
2026-Q3,Mass Spec,Instruments,Other,Academic & Government,2369300,2289800
2026-Q3,Mass Spec,Chemistry,US,Pharma,4673300,5013900
2026-Q3,Mass Spec,Chemistry,US,Industrial,1834500,2003500
2026-Q3,Mass Spec,Chemistry,US,Academic & Government,1972000,1989500
2026-Q3,Mass Spec,Chemistry,China,Pharma,2451500,2409500
2026-Q3,Mass Spec,Chemistry,China,Industrial,962300,962800
2026-Q3,Mass Spec,Chemistry,China,Academic & Government,1034500,956100
2026-Q3,Mass Spec,Chemistry,India,Pharma,1348700,1390900
2026-Q3,Mass Spec,Chemistry,India,Industrial,529400,555800
2026-Q3,Mass Spec,Chemistry,India,Academic & Government,569100,551900
2026-Q3,Mass Spec,Chemistry,Other,Pharma,3099300,3055700
2026-Q3,Mass Spec,Chemistry,Other,Industrial,1216600,1221000
2026-Q3,Mass Spec,Chemistry,Other,Academic & Government,1307800,1212500
2026-Q3,Mass Spec,Service,US,Pharma,3901900,4095000
2026-Q3,Mass Spec,Service,US,Industrial,1620000,1651500
2026-Q3,Mass Spec,Service,US,Academic & Government,1624200,1629400
2026-Q3,Mass Spec,Service,China,Pharma,1801300,1884400
2026-Q3,Mass Spec,Service,China,Industrial,747900,760000
2026-Q3,Mass Spec,Service,China,Academic & Government,749800,749800
2026-Q3,Mass Spec,Service,India,Pharma,1151500,1172100
2026-Q3,Mass Spec,Service,India,Industrial,478100,472700
2026-Q3,Mass Spec,Service,India,Academic & Government,479300,466400
2026-Q3,Mass Spec,Service,Other,Pharma,2499700,2427600
2026-Q3,Mass Spec,Service,Other,Industrial,1037800,979000
2026-Q3,Mass Spec,Service,Other,Academic & Government,1040500,966000
2026-Q3,Chemicals,Chemistry,US,Pharma,7392600,7184200
2026-Q3,Chemicals,Chemistry,US,Industrial,3004400,2667200
2026-Q3,Chemicals,Chemistry,US,Academic & Government,3047000,3062200
2026-Q3,Chemicals,Chemistry,China,Pharma,3538400,3369300
2026-Q3,Chemicals,Chemistry,China,Industrial,1438000,1250900
2026-Q3,Chemicals,Chemistry,China,Academic & Government,1458400,1436200
2026-Q3,Chemicals,Chemistry,India,Pharma,2057400,2162700
2026-Q3,Chemicals,Chemistry,India,Industrial,836100,802900
2026-Q3,Chemicals,Chemistry,India,Academic & Government,848000,921800
2026-Q3,Chemicals,Chemistry,Other,Pharma,4213500,4251200
2026-Q3,Chemicals,Chemistry,Other,Industrial,1712400,1578300
2026-Q3,Chemicals,Chemistry,Other,Academic & Government,1736700,1812000
2026-Q3,Informatics,Informatics,US,Pharma,5126800,4818900
2026-Q3,Informatics,Informatics,US,Industrial,1904700,2014200
2026-Q3,Informatics,Informatics,US,Academic & Government,2124100,2211300
2026-Q3,Informatics,Informatics,China,Pharma,2231800,2377600
2026-Q3,Informatics,Informatics,China,Industrial,829200,993800
2026-Q3,Informatics,Informatics,China,Academic & Government,924600,1091000
2026-Q3,Informatics,Informatics,India,Pharma,1443400,1497200
2026-Q3,Informatics,Informatics,India,Industrial,536300,625800
2026-Q3,Informatics,Informatics,India,Academic & Government,598000,687000
2026-Q3,Informatics,Informatics,Other,Pharma,3179000,3018300
2026-Q3,Informatics,Informatics,Other,Industrial,1181100,1261600
2026-Q3,Informatics,Informatics,Other,Academic & Government,1317100,1385100
